,details,location
775,"The Palace of Holyroodhouse (/hlrud/ or /holrud/), commonly referred to as Holyrood Palace, is the official residence of the British monarch in Scotland. Located at the bottom of the Royal Mile in Edinburgh, at the opposite end to Edinburgh Castle, Holyrood Palace has served as the principal residence of the Kings and Queens of Scots since the 16th century, and is a setting for state occasions and official entertaining. Queen Elizabeth spends one week in residence at Holyrood Palace at the beginning of each summer, where she carries out a range of official engagements and ceremonies. The 16th century Historic Apartments of Mary, Queen of Scots and the State Apartments, used for official and state entertaining, are open to the public throughout the year, except when members of the Royal Family are in residence.",Holyroodhouse Palace Scotland
776,The Isle of Skye Music Festival was an annual music festival that took place on the Ashaig Airstrip near Broadford on the Isle of Skye in Scotland.,Isle of Skye Scotland
777,"National Galleries of Scotland (Scottish Gaelic: Gailearaidhean Niseanta na h-Alba) is the executive non-departmental public body that controls the three national galleries of Scotland and two partner galleries, forming one of the National Collections of Scotland.",National Gallery of Scotland Scotland
778,"Orkney /rkni/ (Scottish Gaelic: Arcaibh), also known as the Orkney Islands, is an archipelago in the Northern Isles of Scotland, United Kingdom, situated off the north coast of Great Britain. Orkney is 16 kilometres (10 mi) north of the coast of Caithness and comprises approximately 70 islands, of which 20 are inhabited. The largest island Mainland is often referred to as ""the Mainland"". It has an area of 523 square kilometres (202 sq mi), making it the sixth-largest Scottish island and the tenth-largest island in the British Isles. The largest settlement and administrative centre is Kirkwall. A form of the name dates to the pre-Roman era and the islands have been inhabited for at least 8500 years, originally occupied by Mesolithic and Neolithic tribes and then by the Picts. Orkney was invaded and forcibly annexed by Norway in 875 and settled by the Norse. The Scottish Parliament then re-annexed the earldom to the Scottish Crown in 1472, following the failed payment of a dowry for James III's bride Margaret of Denmark. Orkney contains some of the oldest and best-preserved Neolithic sites in Europe, and the ""Heart of Neolithic Orkney"" is a designated UNESCO World Heritage Site. Orkney is one of the 32 council areas of Scotland, a constituency of the Scottish Parliament, a lieutenancy area, and a former county. The local council is Orkney Islands Council, one of only three Councils in Scotland with a majority of elected members who are independents. In addition to the Mainland, most of the islands are in two groups, the North and South Isles, all of which have an underlying geological base of Old Red Sandstone. The climate is mild and the soils are extremely fertile, most of the land being farmed. Agriculture is the most important sector of the economy. The significant wind and marine energy resources are of growing importance, and the island generates more than its total yearly electricity demand using renewables. The local people are known as Orcadians and have a distinctive Orcadian dialect of Scots and a rich inheritance of folklore. There is an abundance of marine and avian wildlife.",Orkney Islands Scotland
779,"The Hebrides (/hbrdiz/; Scottish Gaelic: Innse Gall; Old Norse: Sureyjar) comprise a widespread and diverse archipelago off the west coast of mainland Scotland. There are two main groups: the Inner and Outer Hebrides. These islands have a long history of occupation dating back to the Mesolithic, and the culture of the residents has been affected by the successive influences of Celtic, Norse, and English-speaking peoples. This diversity is reflected in the names given to the islands, which are derived from the languages that have been spoken there in historic and perhaps prehistoric times. Various artists have been inspired by their Hebridean experiences. Today the economy of the islands is dependent on crofting, fishing, tourism, the oil industry, and renewable energy. The Hebrides lack biodiversity in comparison to mainland Britain, but seals are present around the coasts in internationally important numbers.",Outer Hebrides Islands Scotland
780,"Shetland /tlnd/, also called the Shetland Islands, is a subarctic archipelago that lies northeast of the island of Great Britain and forms part of Scotland, United Kingdom. The islands lie some 80 km (50 mi) to the northeast of Orkney and 280 km (170 mi) southeast of the Faroe Islands and form part of the division between the Atlantic Ocean to the west and the North Sea to the east. The total area is 1,466 km2 (566 sq mi) and the population totalled 23,210 in 2012. Comprising the Shetland constituency of the Scottish Parliament, Shetland is also one of the 32 council areas of Scotland; the islands' administrative centre and only burgh is Lerwick, which is also the capital of Shetland since taking over from Scalloway in 1708. The largest island, known simply as ""Mainland"", has an area of 967 km2 (373 sq mi), making it the third-largest Scottish island and the fifth-largest of the British Isles. There are an additional 15 inhabited islands. The archipelago has an oceanic climate, a complex geology, a rugged coastline and many low, rolling hills. Humans have lived there since the Mesolithic period, and the earliest written references to the islands date back to Roman times. The early historic period was dominated by Scandinavian influences, especially Norway, and the islands did not become part of Scotland until the 15th century. When Scotland became part of the Kingdom of Great Britain in 1707, trade with northern Europe decreased. Fishing has continued to be an important aspect of the economy up to the present day. The discovery of North Sea oil in the 1970s significantly boosted Shetland incomes, employment and public sector revenues. The local way of life reflects the joint Norse and Scottish heritage including the Up Helly Aa fire festival, and a strong musical tradition, especially the traditional fiddle style. The islands have produced a variety of writers of prose and poetry, often in Shetland dialect. There are numerous areas set aside to protect the local fauna and flora, including a number of important seabird nesting sites. The Shetland pony and Shetland Sheepdog are two well known Shetland animal breeds. Other distinguished local breeds include the Shetland sheep, cow, goose, and duck. The Shetland pig, or grice, has been extinct since approximately 1930. The islands' motto, which appears on the Council's coat of arms, is Me lgum skal land byggja. This Icelandic phrase is taken from the Danish 1241 Basic Law, Codex Holmiensis, and is also mentioned in Njls saga, and means ""By law shall land be built"".",Shetland Islands Scotland
781,"The Old Course at St Andrews is one of the oldest golf courses in the world, a public course over common land in St Andrews, Fife, Scotland. It is held in trust by The St Andrews Links Trust under an act of Parliament. The Royal and Ancient Golf Club of St Andrews club house sits adjacent to the first tee, although it is but one of many clubs that have playing privileges on the course, along with the general public.",St Andrews Golf Course Scotland
782,"The African Renaissance Monument (French: Le Monument de la Renaissance Africaine) is a 49 meter tall bronze statue located on top of one of the twin hills known as Collines des Mamelles, outside Dakar, Senegal. Built overlooking the Atlantic Ocean in the Ouakam suburb, the statue was designed by the Senegalese architect Pierre Goudiaby after an idea presented by president Abdoulaye Wade and built by Mansudae Overseas Projects, a company from North Korea. Site preparation on top of the 100-meter high hill began in 2006, and construction of the bronze statue began 3 April 2008. Originally scheduled for completion in December 2009, delays stretched into early 2010, and the formal dedication occurred on 4 April 2010, Senegal's ""National Day"", commemorating the 50th anniversary of the country's independence from France. It is the tallest statue in Africa.",African Renaissance Statue Senegal
783,"le de Gore (i.e. ""Gore Island""; (French pronunciation: [ildoe], from Dutch Goede Reede (good harbor)) is one of the 19 communes d'arrondissement (i.e. districts) of the city of Dakar, Senegal. It is an 18.2-hectare (45-acre) island located 2 kilometres (1.1 nmi; 1.2 mi) at sea from the main harbor of Dakar (14400N 17240W). Its population as of the 2013 census was 1,680 inhabitants, giving a density of 5,802 inhabitants per square kilometre (15,030/sq mi), which is only half the average density of the city of Dakar. Gore is both the smallest and the least populated of the 19 communes d'arrondissement of Dakar. Gore is famous as a destination for people interested in the Atlantic slave trade but relatively few slaves were processed or transported from there. The more important centres for the slave trade from Senegal were further north, at Saint-Louis, Senegal, or to the south in the Gambia, at the mouths of major rivers for trade. It is a UNESCO World Heritage Site.",Goree Island Senegal
784,"Seychelles (/selz/ say-SHELZ; French: [sl]), officially the Republic of Seychelles (French: Rpublique des Seychelles; Creole: Repiblik Sesel), is an archipelago and country in the Indian Ocean. The 115-island country, whose capital is Victoria, lies 1,500 kilometres (932 mi) east of mainland East Africa. Other nearby island countries and territories include Comoros, Mayotte, Madagascar, Runion and Mauritius to the south. With a population of roughly 92,000, it has the smallest population of any independent African state; however, it does have a larger population than the British overseas territory Saint Helena, Ascension and Tristan da Cunha. Seychelles is a member of the African Union, the Southern African Development Community, the Commonwealth of Nations, and the United Nations. After proclamation of independence from the United Kingdom in 1976, Seychelles has developed from a largely agricultural society to a market-based diversified economy, with agriculture being supplanted by rapidly rising service and public sectors as well as tourism. Since 1976, per capita output has increased nearly sevenfold. In recent years, the government has encouraged foreign investment in order to upgrade these sectors. Today, Seychelles boasts the highest nominal per capita GDP in Africa. It is one of only a handful of countries in Africa with high Human Development Index. Despite the country's newfound economic prosperity, poverty remains widespread due to very high level of income inequality, one of the highest in the world, and low wealth distribution.",Seychelles Islands Seychelles Islands
785,"Singapore (/spr/), officially the Republic of Singapore, and often referred to as the Lion City, the Garden City, and the Red Dot, is a sovereign state and global city in Southeast Asia, and the world's only island city-state. It lies one degree (137 km) north of the equator, south of the southernmost tip of continental Asia and peninsular Malaysia, with Indonesia's Riau Islands to the south. Singapore's territory consists of a diamond-shaped main island along with 62 other islets. Since independence, extensive land reclamation has increased its total size by 23% (130 km2), and its greening policy has covered the densely populated island with tropical flora, parks and gardens. In 1819, Sir Stamford Raffles founded colonial Singapore as a trading post of the East India Company; after the establishment of the British Raj, the islands were ceded to Britain and became part of its Straits Settlements in 1826. During World War II, Singapore was occupied by Japan. It gained independence from Britain in 1963, by federating with other former British territories to form Malaysia, but was expelled two years later over racial discrimination and ideological differences. After early years of turbulence, and despite lacking natural resources and a hinterland, the new independent nation developed rapidly as an Asian Tiger economy, based on external trade and its human capital. Singapore is a global commerce, finance and transport hub. Its standings include: the most ""technology-ready"" nation (WEF), top International-meetings city (UIA), city with ""best investment potential"" (BERI), 2nd-most competitive country (WEF), 3rd-largest foreign exchange centre, 3rd-largest financial centre, 3rd-largest oil refining and trading centre and one of the top two busiest container ports since the 1990s. Singapore's best known global brands include Singapore Airlines (SIA) and Changi Airport, both amongst the most-awarded in their industry. For the past decade, it has been the only Asian country with the top AAA sovereign rating from all major credit rating agencies, including S&P, Moody's and Fitch. Singapore ranks high on its national social policies, leading Asia and 11th globally, on the Human Development Index (UN), notably on key measures of education, healthcare, life expectancy, quality of life, personal safety, and housing. Although income inequality is high, 90% of resident households own their homes, and the country has one of the highest per capita incomes, with low taxes. Singapore is home to 5.6 million residents, 38% of whom are permanent residents and other foreign nationals. Singaporeans are mostly bilingual in a mother-tongue language and English as their common language. Its cultural diversity is reflected in its extensive ethnic ""hawker"" cuisine and major festivalsChinese, Malay, Indian, Westernwhich are all national holidays. It is noted for its effective, pragmatic and incorrupt governance and civil service, which together with its rapid development policies, is widely cited as the ""Singapore model"". Gallup polls shows 84% of its residents expressed confidence in the national government, and 85% in its judicial systemsone of the highest ratings recorded. Singapore has significant influence on global affairs relative to its size, leading some analysts to classify it as a middle power. It is ranked as Asia's most influential city and 4th in the world by Forbes. Singapore is a unitary, multiparty, parliamentary republic, with a Westminster system of unicameral parliamentary government, but is classified as being ""partly free"" by Freedom House. The People's Action Party has won every election since self-government in 1959. One of the five founding members of the ASEAN, Singapore is also the host of the Asia-Pacific Economic Cooperation (APEC) Secretariat, and a member of the East Asia Summit, Non-Aligned Movement, and the Commonwealth of Nations.",Hawker Food Centres Signapore
786,"Singapore (/spr/), officially the Republic of Singapore, and often referred to as the Lion City, the Garden City, and the Red Dot, is a sovereign state and global city in Southeast Asia, and the world's only island city-state. It lies one degree (137 km) north of the equator, south of the southernmost tip of continental Asia and peninsular Malaysia, with Indonesia's Riau Islands to the south. Singapore's territory consists of a diamond-shaped main island along with 62 other islets. Since independence, extensive land reclamation has increased its total size by 23% (130 km2), and its greening policy has covered the densely populated island with tropical flora, parks and gardens. In 1819, Sir Stamford Raffles founded colonial Singapore as a trading post of the East India Company; after the establishment of the British Raj, the islands were ceded to Britain and became part of its Straits Settlements in 1826. During World War II, Singapore was occupied by Japan. It gained independence from Britain in 1963, by federating with other former British territories to form Malaysia, but was expelled two years later over racial discrimination and ideological differences. After early years of turbulence, and despite lacking natural resources and a hinterland, the new independent nation developed rapidly as an Asian Tiger economy, based on external trade and its human capital. Singapore is a global commerce, finance and transport hub. Its standings include: the most ""technology-ready"" nation (WEF), top International-meetings city (UIA), city with ""best investment potential"" (BERI), 2nd-most competitive country (WEF), 3rd-largest foreign exchange centre, 3rd-largest financial centre, 3rd-largest oil refining and trading centre and one of the top two busiest container ports since the 1990s. Singapore's best known global brands include Singapore Airlines (SIA) and Changi Airport, both amongst the most-awarded in their industry. For the past decade, it has been the only Asian country with the top AAA sovereign rating from all major credit rating agencies, including S&P, Moody's and Fitch. Singapore ranks high on its national social policies, leading Asia and 11th globally, on the Human Development Index (UN), notably on key measures of education, healthcare, life expectancy, quality of life, personal safety, and housing. Although income inequality is high, 90% of resident households own their homes, and the country has one of the highest per capita incomes, with low taxes. Singapore is home to 5.6 million residents, 38% of whom are permanent residents and other foreign nationals. Singaporeans are mostly bilingual in a mother-tongue language and English as their common language. Its cultural diversity is reflected in its extensive ethnic ""hawker"" cuisine and major festivalsChinese, Malay, Indian, Westernwhich are all national holidays. It is noted for its effective, pragmatic and incorrupt governance and civil service, which together with its rapid development policies, is widely cited as the ""Singapore model"". Gallup polls shows 84% of its residents expressed confidence in the national government, and 85% in its judicial systemsone of the highest ratings recorded. Singapore has significant influence on global affairs relative to its size, leading some analysts to classify it as a middle power. It is ranked as Asia's most influential city and 4th in the world by Forbes. Singapore is a unitary, multiparty, parliamentary republic, with a Westminster system of unicameral parliamentary government, but is classified as being ""partly free"" by Freedom House. The People's Action Party has won every election since self-government in 1959. One of the five founding members of the ASEAN, Singapore is also the host of the Asia-Pacific Economic Cooperation (APEC) Secretariat, and a member of the East Asia Summit, Non-Aligned Movement, and the Commonwealth of Nations.",Marina Bay Sands Signapore
787,"Lake Bled (Slovene: Blejsko jezero; German: Bleder See, Veldeser See) is a lake in the Julian Alps of the Upper Carniolan region of northwestern Slovenia, where it adjoins the town of Bled. The area is a tourist destination. The lake is 35 km (22 mi) from Ljubljana International Airport and 55 km (34 mi) from the capital city, Ljubljana.",Bled Island Slovenia
788,"kocjan Caves (pronounced [ktsjan]; Slovene: kocjanske jame, Italian: Grotte di San Canziano) is a cave system in Slovenia. Due to its exceptional significance, kocjan Caves was entered on UNESCOs list of natural and cultural world heritage sites in 1986. International scientific circles have thus acknowledged the importance of the caves as one of the natural treasures of planet Earth. Ranking among the most important caves in the world, kocjan Caves represents the most significant underground phenomena in both the Karst region and Slovenia. Following independence from SFR Yugoslavia in 1991, Slovenia committed itself to actively protecting the kocjan Caves area and established kocjan Caves Regional Park and its Managing Authority, the kocjan Caves Park Public Service Agency.",Skocjan Caves Slovenia
789,"Cape Town (Afrikaans: Kaapstad [kpstt]; Xhosa: Ikapa) is a coastal city in South Africa. It is the second most populous urban area in South Africa, after Johannesburg. It is also the provincial capital and primate city of the Western Cape. As the seat of the National Parliament it is also the legislative capital of the country. It forms part of the City of Cape Town metropolitan municipality. The city is famous for its harbour, for its natural setting in the Cape Floristic Region, as well as for such well-known landmarks as Table Mountain and Cape Point. As of 2014, it is the 10th most populous city in Africa and home to 64% of the Western Cape's population. It is one of the most multicultural cities in the world, reflecting its role as a major destination for immigrants and expatriates to South Africa. The city was named the World Design Capital for 2014 by the International Council of Societies of Industrial Design. In 2014, Cape Town was named the best place in the world to visit by both the American New York Times and the British Daily Telegraph. Located on the shore of Table Bay, Cape Town was first developed by the Dutch East India Company as a victualling (supply) station for Dutch ships sailing to East Africa, India, and the Far East. Jan van Riebeeck's arrival on 6 April 1652 established the first permanent European settlement in South Africa. Cape Town quickly outgrew its original purpose as the first European outpost at the Castle of Good Hope, becoming the economic and cultural hub of the Cape Colony. Until the Witwatersrand Gold Rush and the development of Johannesburg, Cape Town was the largest city in South Africa.",Cape Town & Environs South Africa
790,"The Drakensberg (isiZulu: uKhahlamba, SeSotho: Maluti, Afrikaans: Drakensberge) is the name given to the eastern portion of the Great Escarpment, which encloses the central Southern African plateau. The Great Escarpment reaches its greatest elevation in this region  2,000 to 3,000 metres (6,600 to 9,800 feet).  The Drakensberg escarpment stretches for over 1,000 kilometres (600 miles) from the Eastern Cape Province in the South, then successively forms, in order from south to north, the border between Lesotho and the Eastern Cape and the border between Lesotho and KwaZulu-Natal Province. Thereafter it forms the border between KwaZulu-Natal and the Free State, and next as the border between KwaZulu-Natal and Mpumalanga Province. It winds north, through Mpumalanga, where it includes features such as the Blyde River Canyon, Three Rondavels and God's Window. It moves north again above Tzaneen in Limpopo Province, where it includes the Wolkberg Mountains and Iron Crown Mountain, at 2,200 m (7,200 ft) above sea level, the Wolkberg being the highest mountain range in Limpopo. It veers west again and at Mokopane it is known as the Strydpoort Mountains.",Drakensberg Mountains South Africa
791,"Kimberley is the capital of the Northern Cape Province of South Africa. It is located approximately 110 km east of the confluence of the Vaal and Orange Rivers. The city has considerable historical significance due to its diamond mining past and the siege during the Second Boer War. Notable personalities such as Cecil Rhodes and Barney Barnato made their fortunes here, and the roots of the De Beers company can also be traced to the early days of the mining town. Kimberley was the first city in the Southern Hemisphere and the second in the world after Philadelphia to integrate electric street lights into its infrastructure on Sept. 2, 1882. The first Stock Exchange in Africa was also built in Kimberley, as early as 1881.",Kimberley Diamond Mines South Africa
792,"Kruger National Park is one of the largest game reserves in Africa. It covers an area of 19,485 square kilometres (7,523 sq mi) in the provinces of Limpopo and Mpumalanga in northeastern South Africa, and extends 360 kilometres (220 mi) from north to south and 65 kilometres (40 mi) from east to west. The administrative headquarters are in Skukuza. Areas of the park were first protected by the government of the South African Republic in 1898, and it became South Africa's first national park in 1926. To the west and south of the Kruger National Park are the two South African provinces of Limpopo and Mpumalanga. In the north is Zimbabwe, and to the east is Mozambique. It is now part of the Great Limpopo Transfrontier Park, a peace park that links Kruger National Park with the Gonarezhou National Park in Zimbabwe, and with the Limpopo National Park in Mozambique. The park is part of the Kruger to Canyons Biosphere an area designated by the United Nations Educational, Scientific and Cultural Organization (UNESCO) as an International Man and Biosphere Reserve (the ""Biosphere""). The park has nine main gates allowing entrance to the different camps. The Australian version of the reality show I'm a Celebrity, Get Me Out of Here! is set in the National Park.",Kruger National Park South Africa
793,"Table Mountain (Khoikhoi: Hoerikwaggo, Afrikaans: Tafelberg) is a flat-topped mountain forming a prominent landmark overlooking the city of Cape Town in South Africa. It is a significant tourist attraction, with many visitors using the cableway or hiking to the top. The mountain forms part of the Table Mountain National Park.",Panoramic Route South Africa
794,"Phinda Private Game Reserve, formerly known as Phinda Resource Reserve, is a 170 km private game reserve situated in KwaZulu-Natal, South Africa between the Mkuze Game Reserve and the Greater St. Lucia Wetland Park. Formed in 1991, this ethnically named reserve means ""return to the wild"". Phinda has seven distinct ecosystems with palm savannah and mountain bush to rare sand forest and dense thornveld.",Phinda South Africa
795,"Table Mountain (Khoikhoi: Hoerikwaggo, Afrikaans: Tafelberg) is a flat-topped mountain forming a prominent landmark overlooking the city of Cape Town in South Africa. It is a significant tourist attraction, with many visitors using the cableway or hiking to the top. The mountain forms part of the Table Mountain National Park.",Table Mountain National Park South Africa
796,"Wnsan is a port city and naval base located in Kangwn Province, North Korea, along the eastern side of the Korean Peninsula, on the Sea of Japan (East Korean Sea) and the provincial capital. The port was opened by occupying Japanese forces in 1880. Before the 19501953 Korean War, it fell within the jurisdiction of the then South Hamgyng province, and during the war it was the location of the Blockade of Wnsan. The population of the city was estimated at 331,000 in 2000. Notable people from Wnsan include Kim Ki Nam, diplomat and Secretary of the Korean Workers' Party. The city has several major factories. In 2013, it was announced that Wnsan would be converted into a summer destination with resorts and entertainment.",Changdok Palace & Secret Garden South Korea
797,"Jongmyo is a Confucian shrine dedicated to the perpetuation of memorial services for the deceased kings and queens of the Korean Joseon Dynasty (13921897). According to UNESCO, the shrine is the oldest royal Confucian shrine preserved and the ritual ceremonies continue a tradition established in the 14th century. Such shrines existed during the Three Kingdoms of Korea period (57-668), but these have not survived. The Jongmyo Shrine was added to the UNESCO World Heritage list in 1995. Jongmyo is adjacent to Changdeokgung and Changgyeonggung in the south. They used to be connected in the Joseon period, but were separated by a road built by Japanese colonialists. Nowadays there is a construction plan to recover the original structure of the shrine. The main buildings of Jongmyo was constructed in October, 1394 when Taejo, first king of Joseon Dynasty, moved the capital to Seoul. It was destroyed by fire in the Japanese invasions of Korea (159298), then rebuilt in 1608.",Chongmyo Royal Shrine South Korea
798,"Haeinsa (, : Temple of the Ocean Mudra) is a head temple of the Jogye Order (,  ) of Korean Buddhism in the Gaya Mountains (, ), South Gyeongsang Province South Korea. Haeinsa is most notable for being the home of the Tripitaka Koreana, the whole of the Buddhist Scriptures carved onto 81,350 wooden printing blocks, which it has housed since 1398. Haeinsa is one of the Three Jewel Temples of Korea, and represents Dharma or the Buddhas teachings. It is still an active Seon (, ) practice center in modern times, and was the home temple of the influential Rev. Seongcheol (, ), who died in 1993.",Haeinsa Temple South Korea
799,"Gyeongbokgung (The template Korean is being considered for merging.  Hangul: ; hanja: ), also known as Gyeongbokgung Palace or Gyeongbok Palace, was the main royal palace of the Joseon dynasty. Built in 1395, it is located in northern Seoul, South Korea. The largest of the Five Grand Palaces built by the Joseon dynasty, Gyeongbokgung served as the home of Kings of the Joseon dynasty, the Kings' households, as well as the government of Joseon. Gyeongbokgung continued to serve as the main palace of the Joseon dynasty until the premises were destroyed by fire during the Imjin War and abandoned for two centuries. However, in the 19th century, all of the palace's 7,700 rooms were later restored under the leadership of Prince Regent Heungseon during the reign of King Gojong. Some 500 buildings were restored on a site of over 40 hectares. The architectural principles of ancient Korea were incorporated into the tradition and appearance of the Joseon royal court. In the early 20th century, much of the palace was systematically destroyed by Imperial Japan. Since then, the walled palace complex is gradually being reconstructed to its original form. Today, the palace is arguably regarded as being the most beautiful and grandest of all five palaces. It also houses the National Palace Museum of Korea and the National Folk Museum within the premises of the complex.",Kyongbok Palace South Korea
800,"The Gyeongju Basin is a landform in Gyeongju city, North Gyeongsang province, South Korea. It forms part of the watershed of the Hyeongsan River, which flows north through the basin where it is joined by the Bukcheon, Namcheon, Daecheon, and Sogyeon-cheon streams. The basin is surrounded by low mountains, most of which are also part of Gyeongju National Park. Specifically, it is bordered by Gowi Mountain (495 m above sea level) on the south, Seondo Mountain (380 m) and Ongnyeo Peak (215 m) on the west, and Gumi Mountain (594 m) on the north. Namsan, a mountain composed of two peaks (466 m, 495 m), cuts the Gyeongju Basin into two parts at the southern end. The streams that flow from these mountains have formed a number of interlinked alluvial plains in the Basin. The city center of Gyeongju, which was also the capital of the ancient Silla kingdom, occupies much of the basin. Various watershed management projects were undertaken even during Silla times, due to continuous flooding in the basin, caused by runoff from the neighboring mountains combined with inflow from the upper Hyeongsan River watershed. The most recent severe flood took place in 1991. The basin is also home to a great number of important Korean cultural heritage assets, mostly related to its ancient role as capital of Silla. For example, the royal tombs of Silla are located there, as is the Gyerim forest. The slopes of the entire Namsan Mountain are covered in religious and ceremonial sites dating from the Mumun Pottery Period (c. 1500-300 B.C.) to the end of the Korean Three Kingdoms (c. AD 668). Namsan and environs is registered as a UNESCO World Heritage Site. Agriculture is also undertaken on a significant scale within the basin. The crops are primary staples such as rice, barley, and soybeans. The Gyeongju strain of rice grown here is particularly famous for its quality. However, the Gyeongju Basin has undergone significant environmental strain since the 1970s resulting the construction of tourist facilities, the expansion and industrialization of urban Gyeongju, intensive agriculture, and the construction and use of national public infrastructure such as expressways, highways, and high-speed rail.",Kyongju Tombs & Museum South Korea
801,"Beopjusa (Korean:  or Beopju temple) is a head temple of the Jogye Order of Korean Buddhism. It is situated on the slopes of Songnisan, within Songnisan National Park, in Naesongni-myeon, Boeun County, in the province of Chungcheongbuk-do, South Korea. It was initially constructed in 553 by Silla monk Uisin. It has been historically associated with Beopsang thought, and the worship of the Maitreya Buddha.",Popchusa Temple South Korea
802,"Bulguksa is located on the slopes of mount Toham (Jinheon-dong, Gyeongju city, North Gyeongsang province, South Korea). It is a head temple of the Jogye Order of Korean Buddhism and encompasses seven National treasures of South Korea, including the Dabotap and Seokgatap stone pagodas, Cheongun-gyo (Blue Cloud Bridge), and two gilt-bronze statues of Buddha. The temple is classified as Historic and Scenic Site No. 1 by the South Korean government. In 1995, Bulguksa was added to the UNESCO World Heritage List together with the Seokguram Grotto, which lies four kilometers to the east. The temple is considered as a masterpiece of the golden age of Buddhist art in the Silla kingdom. It is currently the head temple of the 11th district of the Jogye Order of Korean Buddhism. Among the earliest woodblock prints in world, a version of the Dharani sutra dated between 704 and 751 was found there in 1966. Its Buddhist text was printed on a 8 cm  630 cm (3.1 in  248.0 in) mulberry paper scroll.",Pulguksa Temple South Korea
803,"The Seokguram Grotto is a hermitage and part of the Bulguksa temple complex. It lies four kilometers east of the temple on Mt. Tohamsan, in Gyeongju, South Korea. It is classified as National Treasure No. 24 by the South Korean government and is located at 994, Jinhyeon-dong, Gyeongju-si, Gyeongsanbuk-do. The grotto overlooks the East Sea () and rests 750 meters above sea level. In 1962, it was designated the 24th national treasure of Korea. In 1995, Seokguram was added to the UNESCO World Heritage List together with the Bulguksa Temple. It exemplifies some of the best Buddhist sculptures in the world. [1] It is said to have been built by Kim Daeseong and originally called Seokbulsa (, Stone Buddha Temple). Construction began in 742 when Gim Daeseong resigned his position in the king's court or in 751, the 10th year of the reign of King Gyeongdeok of Silla. This time period was the cultural peak of Unified Silla. The grotto was completed by the Silla court in 774, shortly after Gim's death. An old legend stated that Gim was reincarnated for his filial acts in his previous life. The legend relates that the Bulguksa Temple was dedicated to Gims parents in his present life while the Seokguram Grotto was dedicated to Gim's parents from a previous life. It is now one of the best known cultural destinations in South Korea. A viewing of the sunrise over the sea, which is visible from near the seated Buddha's perch, is especially popular.",Sokkuram Grotto South Korea
